Process Size,TDP,Die Size,Transistors,FP32 GFLOPS,Foundry_GF,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Vendor_AMD,Vendor_ATI,Vendor_Intel,Vendor_NVIDIA,Vendor_Other
2.70805020110221,3.258096538021482,4.31748811353631,7.496097345175956,1177.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.02535169073515,4.709530201312334,5.262690188904886,6.502790045915623,497.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.189654742026425,3.58351893845611,5.0369526024136295,5.968707559985366,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.713572066704308,5.375278407684165,6.272877006546167,8.03947991910045,855.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.713572066704308,4.143134726391533,5.476463551931511,7.065613363597717,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.367295829986474,5.420534999272286,5.68697535633982,8.172164452111904,2289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.02535169073515,5.017279836814924,5.564520407322694,6.626717749249025,414.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.713572066704308,4.61512051684126,5.808142489980444,7.576097340623111,638.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.367295829986474,5.420534999272286,5.988961416889864,8.556606193773073,4825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.189654742026425,4.110873864173311,5.484796933490655,6.226536669287466,127.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.189654742026425,4.486094566778884,5.0369526024136295,5.968707559985366,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.367295829986474,4.02535169073515,5.402677381872279,7.840312983320164,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
